team,season,team_green_zone_carries_all_games,total_team_RB_HVTs_all_games,team_carries_all_games,team_targets_all_games,team_receptions_all_games,team_rush_fd_all_games,team_rec_fd_all_games
ARI,2017,19,488,409,652,339,66,200
ATL,2017,40,480,431,554,343,101,200
BAL,2017,40,570,461,596,363,111,168
BUF,2017,37,509,488,522,288,105,148
CAR,2017,40,475,491,538,293,121,167
CHI,2017,30,509,423,513,291,93,144
CIN,2017,23,431,377,550,304,72,165
CLE,2017,30,440,385,624,312,97,157
DAL,2017,43,488,480,528,309,127,162
DEN,2017,26,521,457,622,332,92,180
DET,2017,27,436,364,621,374,58,210
GB,2017,24,411,386,616,352,99,176
HOU,2017,23,482,449,583,299,86,180
IND,2017,24,469,451,544,285,94,148
JAX,2017,40,597,528,556,316,101,193
KC,2017,27,428,406,581,363,95,198
LA,2017,43,455,454,546,320,97,185
LAC,2017,37,513,419,602,366,84,220
LV,2017,17,448,370,584,347,78,178
MIA,2017,11,426,361,636,373,66,187
MIN,2017,41,557,502,555,357,100,196
NE,2017,52,562,448,624,389,107,232
NO,2017,41,574,445,556,386,111,201
NYG,2017,25,508,395,647,373,66,178
NYJ,2017,31,487,428,559,323,77,157
PHI,2017,34,472,477,605,341,108,193
PIT,2017,37,508,438,618,385,96,218
SEA,2017,23,406,409,603,340,85,183
SF,2017,39,524,408,651,362,88,206
TB,2017,37,428,392,649,378,76,243
TEN,2017,37,432,443,531,306,97,157
WAS,2017,33,453,401,581,347,66,191
NA,2017,0,0,0,0,0,0,0
ARI,2018,22,432,356,549,283,76,137
ATL,2018,27,389,351,665,428,84,238
BAL,2018,48,463,549,590,334,153,184
BUF,2018,30,446,468,542,270,108,136
CAR,2018,46,417,417,599,378,117,212
CHI,2018,31,500,468,550,344,108,177
CIN,2018,28,422,359,583,331,92,182
CLE,2018,39,458,413,620,353,93,189
DAL,2018,37,466,440,584,356,113,184
DEN,2018,29,487,395,624,367,107,181
DET,2018,36,514,405,619,375,91,201
GB,2018,19,388,334,696,392,98,208
HOU,2018,34,435,472,569,345,94,202
IND,2018,40,477,410,665,432,96,237
JAX,2018,27,464,416,591,329,92,164
KC,2018,51,395,388,610,385,108,239
LA,2018,55,474,463,604,368,134,236
LAC,2018,28,489,400,553,348,100,213
LV,2018,39,482,388,609,382,86,197
MIA,2018,11,423,371,508,292,75,153
MIN,2018,20,398,357,651,425,66,218
NE,2018,56,561,478,596,378,131,206
NO,2018,74,534,475,541,381,134,210
NYG,2018,42,480,356,635,382,71,208
NYJ,2018,24,457,409,562,299,84,157
PHI,2018,39,455,402,641,422,94,221
PIT,2018,32,413,345,718,459,88,251
SEA,2018,42,536,534,479,280,133,156
SF,2018,35,479,425,584,331,98,201
TB,2018,36,384,390,670,408,80,265
TEN,2018,40,459,454,485,293,106,156
WAS,2018,22,439,414,556,311,96,156
NA,2018,0,0,0,0,0,0,0
ARI,2019,27,382,392,604,352,107,174
ATL,2019,22,426,363,742,459,84,258
BAL,2019,61,457,600,469,289,188,171
BUF,2019,34,420,466,555,299,120,162
CAR,2019,41,469,387,693,382,82,230
CHI,2019,33,466,395,626,371,85,178
CIN,2019,34,419,386,666,356,85,191
CLE,2019,43,476,395,584,319,92,181
DAL,2019,41,481,450,622,388,120,229
DEN,2019,30,485,410,546,312,77,162
DET,2019,35,455,407,616,344,82,196
GB,2019,32,489,412,611,356,90,190
HOU,2019,30,421,434,584,355,112,203
IND,2019,40,491,472,547,307,131,165
JAX,2019,31,439,390,639,364,85,183
KC,2019,35,422,375,603,378,93,211
LA,2019,54,396,403,656,397,92,222
LAC,2019,36,522,366,632,394,90,220
LV,2019,34,516,437,553,367,104,194
MIA,2019,34,403,349,677,371,64,210
MIN,2019,61,556,476,497,319,106,171
NE,2019,56,566,449,650,378,110,197
NO,2019,38,487,407,607,418,97,230
NYG,2019,30,399,362,654,376,89,187
NYJ,2019,13,452,383,577,323,61,162
PHI,2019,44,502,458,653,391,104,215
PIT,2019,33,454,395,543,315,75,147
SEA,2019,37,482,482,567,341,121,190
SF,2019,40,530,498,519,331,110,195
TB,2019,39,454,412,680,382,81,244
TEN,2019,30,430,446,505,297,104,177
WAS,2019,22,420,357,534,298,74,154
NA,2019,0,0,0,0,0,0,0
ARI,2020,53,438,480,606,387,136,211
ATL,2020,32,472,409,672,408,86,243
BAL,2020,55,427,556,439,257,166,142
BUF,2020,42,365,411,624,410,119,240
CAR,2020,48,408,407,588,373,110,192
CHI,2020,37,359,394,652,402,93,218
CIN,2020,29,434,411,629,372,92,201
CLE,2020,49,511,496,528,315,133,195
DAL,2020,46,465,434,685,413,115,231
DEN,2020,27,444,442,593,317,94,176
DET,2020,41,429,367,628,374,93,220
GB,2020,42,499,446,547,372,114,216
HOU,2020,27,342,344,600,383,83,222
IND,2020,50,546,462,575,371,129,201
JAX,2020,17,399,338,668,387,80,205
KC,2020,34,428,403,657,420,110,255
LA,2020,65,455,473,616,392,123,206
LAC,2020,53,548,468,664,413,111,226
LV,2020,48,509,457,580,369,121,206
MIA,2020,60,457,429,598,370,100,207
MIN,2020,69,528,472,563,349,139,212
NE,2020,62,463,504,478,283,143,157
NO,2020,62,513,494,552,370,147,199
NYG,2020,24,394,399,571,321,91,178
NYJ,2020,21,431,406,544,292,94,146
PHI,2020,46,379,412,670,334,114,177
PIT,2020,43,402,373,675,428,81,206
SEA,2020,34,417,411,613,388,111,216
SF,2020,40,533,437,613,371,101,217
TB,2020,41,444,369,650,410,82,238
TEN,2020,56,523,525,513,316,142,203
WAS,2020,42,511,402,654,389,108,184
NA,2020,0,0,0,0,0,0,0
ARI,2021,55,464,496,633,415,127,214
ATL,2021,33,495,394,615,377,75,196
BAL,2021,39,406,518,675,396,159,209
BUF,2021,58,409,463,686,415,134,236
CAR,2021,38,479,456,654,348,118,174
CHI,2021,47,460,475,604,332,119,180
CIN,2021,38,479,438,613,384,96,208
CLE,2021,44,526,486,572,320,138,177
DAL,2021,36,527,478,685,444,111,248
DEN,2021,47,506,455,584,354,124,179
DET,2021,29,531,427,635,396,104,193
GB,2021,44,497,447,628,402,109,235
HOU,2021,29,481,421,591,354,77,162
IND,2021,53,543,500,557,324,154,167
JAX,2021,34,390,393,641,361,92,178
KC,2021,45,448,432,705,448,119,267
LA,2021,40,447,420,641,406,99,233
LAC,2021,55,482,426,713,443,112,256
LV,2021,37,492,414,671,429,95,217
MIA,2021,43,466,442,658,404,87,206
MIN,2021,52,529,453,637,398,103,202
NE,2021,51,520,491,565,364,139,187
NO,2021,32,485,511,545,293,113,165
NYG,2021,26,449,422,633,351,90,171
NYJ,2021,50,457,384,661,357,87,195
PHI,2021,72,499,552,529,307,163,167
PIT,2021,23,468,411,707,425,85,204
SEA,2021,30,413,413,543,324,106,166
SF,2021,39,455,500,549,343,130,200
TB,2021,53,476,387,755,492,106,273
TEN,2021,44,587,552,583,359,134,194
WAS,2021,48,527,481,597,356,129,181
NA,2021,0,0,0,0,0,0,0
ARI,2022,36,429,436,717,433,115,189
ATL,2022,49,522,560,454,257,152,148
BAL,2022,41,415,527,527,300,167,149
BUF,2022,41,402,432,608,361,128,212
CAR,2022,36,503,486,494,267,119,138
CHI,2022,43,430,558,440,223,148,109
CIN,2022,51,445,400,659,418,96,221
CLE,2022,39,527,533,586,335,142,182
DAL,2022,42,547,532,584,355,129,194
DEN,2022,29,491,445,635,345,105,166
DET,2022,65,549,484,613,383,114,228
GB,2022,32,527,456,598,364,116,186
HOU,2022,32,465,399,621,352,90,159
IND,2022,33,508,440,668,398,91,193
JAX,2022,48,442,449,630,394,114,208
KC,2022,47,448,419,680,435,105,272
LA,2022,26,383,411,590,347,89,181
LAC,2022,38,522,404,752,485,93,232
LV,2022,28,490,429,624,359,122,193
MIA,2022,21,448,390,621,368,93,220
MIN,2022,45,445,404,723,448,93,244
NE,2022,32,475,425,585,358,98,166
NO,2022,28,439,467,552,338,103,181
NYG,2022,45,490,521,574,346,150,170
NYJ,2022,30,464,405,669,357,79,191
PHI,2022,75,430,547,581,350,161,195
PIT,2022,41,479,500,612,364,129,189
SEA,2022,21,434,425,621,399,106,206
SF,2022,60,502,504,543,338,132,188
TB,2022,30,491,387,779,499,79,240
TEN,2022,24,495,487,506,285,104,153
WAS,2022,43,556,538,609,344,124,184
NA,2022,0,0,0,0,0,0,0
ARI,2023,39,427,477,604,355,127,173
ATL,2023,37,576,523,573,327,121,181
BAL,2023,63,444,542,536,328,144,180
BUF,2023,64,467,512,607,385,158,199
CAR,2023,31,474,447,652,350,111,150
CHI,2023,40,468,535,566,321,137,169
CIN,2023,47,408,383,666,420,90,208
CLE,2023,38,529,525,671,355,121,173
DAL,2023,52,471,470,657,428,113,229
DEN,2023,39,510,455,568,337,116,154
DET,2023,62,553,501,642,408,124,228
GB,2023,36,462,443,614,374,101,211
HOU,2023,45,464,446,644,372,84,215
IND,2023,47,501,479,620,355,113,178
JAX,2023,35,451,455,665,412,98,199
KC,2023,39,427,418,663,421,107,216
LA,2023,52,484,478,622,361,110,206
LAC,2023,45,421,431,676,409,89,204
LV,2023,38,456,415,599,348,83,182
MIA,2023,58,523,456,599,393,113,223
MIN,2023,28,416,393,679,424,79,220
NE,2023,20,475,416,606,351,93,153
NO,2023,57,481,482,643,406,112,199
NYG,2023,23,430,455,606,338,97,141
NYJ,2023,17,472,390,667,356,77,156
PHI,2023,68,438,511,603,369,149,197
PIT,2023,40,519,488,544,323,115,153
SEA,2023,37,423,382,616,371,93,189
SF,2023,56,510,499,525,336,147,207
TB,2023,25,454,439,612,364,79,188
TEN,2023,32,489,444,559,304,103,158
WAS,2023,28,407,361,703,407,99,190
NA,2023,0,0,0,0,0,0,0
ARI,2024,34,469,468,573,374,136,191
ATL,2024,54,541,497,593,364,133,198
BAL,2024,45,478,555,503,318,164,199
BUF,2024,60,446,491,535,329,140,181
CAR,2024,42,434,411,585,341,99,168
CHI,2024,33,407,431,644,353,97,172
CIN,2024,45,433,381,702,460,88,253
CLE,2024,32,395,391,735,395,93,180
DAL,2024,26,433,429,678,398,98,192
DEN,2024,33,467,461,595,379,124,172
DET,2024,66,589,535,585,399,144,242
GB,2024,60,520,528,505,308,142,171
HOU,2024,41,463,436,624,357,89,197
IND,2024,59,458,499,547,289,130,161
JAX,2024,40,433,414,585,343,106,174
KC,2024,40,453,450,643,404,106,219
LA,2024,43,452,451,593,367,119,192
LAC,2024,48,434,465,557,336,110,176
LV,2024,36,424,382,688,410,78,209
MIA,2024,39,514,448,639,413,90,221
MIN,2024,36,466,457,598,364,100,210
NE,2024,29,445,446,585,342,101,167
NO,2024,31,484,444,592,340,111,167
NYG,2024,34,408,425,645,366,104,170
NYJ,2024,19,449,366,653,385,83,201
PHI,2024,71,525,626,494,303,164,168
PIT,2024,53,536,533,550,321,122,158
SEA,2024,35,432,383,650,413,88,211
SF,2024,57,425,458,570,349,120,204
TB,2024,43,523,483,614,408,137,224
TEN,2024,26,463,451,585,336,112,164
WAS,2024,70,434,528,579,365,154,192
NA,2024,0,0,0,0,0,0,0
